,auc_avg,auc_one,epoch,f1_avg_0.35,f1_avg_0.36,f1_avg_0.37,f1_avg_0.38,f1_avg_0.39,f1_avg_best,f1_one_0.35,f1_one_0.36,f1_one_0.37,f1_one_0.38,f1_one_0.39,fold,model_id,mu,seed,th_avg_best
925,0.973380023281608,0.9706541042048257,6,0.7069510722704535,0.7056302131603336,0.7058479873809662,0.7052935288229406,0.7055825530401802,0.7073240565767623,0.6949035016757195,0.6942678873403697,0.6943090385857755,0.6938509794638101,0.6931933424804628,7,3,0.9,1000,0.345
926,0.9734425769962741,0.9701221294952059,7,0.7067885267574869,0.7066048667439165,0.7058066779720484,0.7061940650023552,0.7061406110946308,0.7067885267574869,0.6916018935187891,0.6917044985555098,0.6923487861340297,0.6917284245756633,0.6910271049942905,7,3,0.9,1000,0.35
927,0.9732210106663873,0.9691525433831483,8,0.7070823488733936,0.7073850441244774,0.7082235879426397,0.7082817565576186,0.7078805154700397,0.7086882453151618,0.6910257144493442,0.6904789382573572,0.6908223798999651,0.6904148113428638,0.6911322201899818,7,3,0.9,1000,0.375
928,0.972762111065053,0.9675878047134533,9,0.7060113072574132,0.7060054647985583,0.7066401217941211,0.7052016295684006,0.704119850187266,0.7071642296618303,0.686544696618805,0.6860072235814983,0.6850038120931324,0.684748567038941,0.6833333333333333,7,3,0.9,1000,0.32
929,0.9721288515305736,0.9659755804028878,10,0.703846819309072,0.7034843205574913,0.7032246737285655,0.7025275437459495,0.7013357079252004,0.7042801556420234,0.6811116889120009,0.6815168081889031,0.6809431864724125,0.680089485458613,0.6793504030346136,7,3,0.9,1000,0.34
930,0.9630380609313539,0.9614253372131145,1,0.6597384399813171,0.6589527126748922,0.6588235294117647,0.6577772414625316,0.6576010732361728,0.6605045924892454,0.6532681297709924,0.6525643343578618,0.6509531640172971,0.6494737489998152,0.6471137679805717,7,4,0.9,1000,0.345
931,0.9688839085112169,0.9677685589836784,2,0.6857110144263797,0.6849315068493151,0.6847382534685786,0.684111490062331,0.6829297245963912,0.6857110144263797,0.6810060711188205,0.6812879141390574,0.6795075690640278,0.6794201520912547,0.679177408717549,7,4,0.9,1000,0.35
932,0.9713641260820025,0.9700463543537242,3,0.6967705058588167,0.6968419837191848,0.6957942017149857,0.6956879816459792,0.695208123033074,0.6971507352941176,0.6927119031299976,0.6932780369794367,0.6928165254729025,0.6917495611468695,0.6909949808089756,7,4,0.9,1000,0.355
933,0.9726237352474153,0.9708288756822114,4,0.7022613065326633,0.7025250778277413,0.7025485860584196,0.7022389375330551,0.7018125814476956,0.7043947397999327,0.6956767448431761,0.6948100039879224,0.6958421990913796,0.6939557568367881,0.6943144595226953,7,4,0.9,1000,0.33
934,0.9733464695494514,0.970960161829739,5,0.705606943017015,0.7065198593416729,0.7064017660044151,0.7059651592468766,0.7049151239131721,0.7079566511314503,0.6964455639518611,0.6957454011962532,0.6962356419879449,0.6964193640790605,0.6967876126646637,7,4,0.9,1000,0.33
935,0.9736158659044687,0.9707604603656482,6,0.7074550128534705,0.7079707221485795,0.7073667073667074,0.7074813990274768,0.7069597069597069,0.7079889807162535,0.6958089229382606,0.6954349307290484,0.6950305941556586,0.6955770559778853,0.6950716897892841,7,4,0.9,1000,0.355
936,0.9737010893947704,0.9700377366678195,7,0.7067617295308188,0.7079009912468841,0.7082407948568089,0.7070671378091874,0.7079888168461127,0.7083891249927228,0.6938422509225092,0.6938704434641282,0.6934221287533591,0.6932988174383714,0.6925811803744962,7,4,0.9,1000,0.365
937,0.9734953657507839,0.96895692504388,8,0.7087339512925326,0.7086724017670308,0.7078421021760807,0.7077104874446085,0.7065055651449318,0.709059633027523,0.6897347174163783,0.6897954439795444,0.6888641816373106,0.6888626988803772,0.6881937436932392,7,4,0.9,1000,0.345
938,0.9731064448291653,0.9676973911178439,9,0.7081040375369287,0.7074281709880867,0.7069553960221254,0.705561807735592,0.7057629143027769,0.708761850043091,0.6854871704950609,0.6846443711728685,0.6851862820588758,0.6843738808642713,0.6829649207111965,7,4,0.9,1000,0.34
939,0.9726408241801695,0.9660796647385089,10,0.7049959429697461,0.7051955633391711,0.7052941176470587,0.7049063759184641,0.7041430700447094,0.7061443581544083,0.6789442815249267,0.6796884220465007,0.6795252225519288,0.679290364972224,0.6793246409902061,7,4,0.9,1000,0.33
940,0.9630674507447263,0.9610682758752753,1,0.6579289172275357,0.6579606440071556,0.6561670287231475,0.6563033406486223,0.6551363328614513,0.6599664991624791,0.6477335459731338,0.6445244598957041,0.6419397280872126,0.640025332488917,0.6385758196721313,7,5,0.9,1000,0.33
941,0.968828831267751,0.9668246764605058,2,0.6849646124633177,0.6847056091046336,0.6838807892733766,0.682092555331992,0.6812832307784217,0.6859963685882886,0.6778727890359612,0.6769594794439514,0.6768238035490232,0.676232967563005,0.6749391727493917,7,5,0.9,1000,0.335
942,0.9713352775881708,0.9691241321866325,3,0.697605133493755,0.6975454807969969,0.6977829638273045,0.696471697001826,0.6947843649756446,0.698745956988027,0.688110281447444,0.6887470997679814,0.6880261927034611,0.6868806040585183,0.6866579229760343,7,5,0.9,1000,0.34
